CustomerID,FirstName,LastName,DateOfBirth,AddressID,CustomerTypeID
10832,Nyla,Aguirre,1974-02-07 00:00:00.000000,881,1
10983,,Battle,1963-02-01 00:00:00.000000,958,2
10837,Angelena,Harrington,1964-03-25 00:00:00.000000,86,3
10107,Remona,Glass,1965-09-16 00:00:00.000000,595,1
10553,King,Becker,1966-02-20 00:00:00.000000,969,3
10867,Mathew,Kinney,1997-06-26 00:00:00.000000,866,3
10861,Roderick,Mckee,1980-02-04 00:00:00.000000,604,3
10964,Jewell,Flowers,1978-05-31 00:00:00.000000,700,3
10578,Shizuko,Boyer,2000-08-23 00:00:00.000000,635,3
10148,Avelina,Barker,1997-10-27 00:00:00.000000,28,2
10790,Cliff,Short,1969-01-14 00:00:00.000000,193,3
10125,Amberly,Bowen,2000-01-27 00:00:00.000000,982,2
10233,Nisha,,1999-09-15 00:00:00.000000,591,1
10234,Eduardo,Goff,1968-11-17 00:00:00.000000,85,1
10961,Audrea,French,1962-03-29 00:00:00.000000,670,1
10671,Sherell,Hamilton,1996-07-14 00:00:00.000000,1041,1
10682,Ambrose,Harrison,1976-06-29 00:00:00.000000,455,1
10533,Rodolfo,Fitzgerald,1988-02-12 00:00:00.000000,634,2
10523,Phil,Clay,1999-11-02 00:00:00.000000,479,3
10131,Quintin,Wheeler,1976-01-21 00:00:00.000000,1201,1
10575,Mel,Hobbs,1992-12-18 00:00:00.000000,143,1
10941,Lamont,Mcgowan,2000-03-16 00:00:00.000000,87,2
10252,Loralee,Dodson,1988-10-13 00:00:00.000000,1058,1
10830,,Burt,1992-06-29 00:00:00.000000,1169,2
10223,Ray,Farmer,1998-01-11 00:00:00.000000,193,1
10922,Adan,Benton,1997-07-29 00:00:00.000000,841,1
10048,Matthew,Mcclure,1991-01-16 00:00:00.000000,615,2
10001,Sherrell,Barlow,1969-06-07 00:00:00.000000,560,2
10013,Eric,Franks,1966-04-14 00:00:00.000000,849,3
10165,Dominique,Allison,1984-04-28 00:00:00.000000,1176,1
10466,Bruce,Branch,1988-02-11 00:00:00.000000,675,1
10938,Graham,Dalton,1999-05-01 00:00:00.000000,400,1
10641,Gino,Hopkins,1964-11-23 00:00:00.000000,740,2
10222,Verline,Kelley,1980-05-02 00:00:00.000000,699,3
10420,Bruna,Henry,1964-04-17 00:00:00.000000,152,2
10296,Zandra,Delaney,1988-03-04 00:00:00.000000,579,3
